BOURBLE | 2 ounces bourbon + 1/2 ounce lemon juice + 1/2 ounce Cointreau or triple sec | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
CLAMATO COCKTAIL | 2 1/2 ounces vodka + 1 dash Worcestershire + 3 ounces tomato juice sauce + 2 ounces clam juice + 1 dash Tabasco sauce + 1/8 teaspoon black pepper + 1 lemon wedge | In a shaker half-filled with ice cubes, combine the vodka, tomato juice, clam juice, pepper, Worcestershire, and Tabasco. Shake well. Strain into a highball glass almost filled with ice cubes. Garnish with the lemon wedge. | Highball Glass
CZARINE | 1 ounce vodka + 1/2 ounce apricot brandy + 1/2 ounce dry vermouth + 1 dash bitters | In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
DEANNE | 1 ounce vodka + 1/2 ounce sweet vermouth + 1/2 ounce Cointreau or triple sec + 1 lemon twist | In a mixing glass half-filled with ice cubes, combine the vodka, vermouth, and Cointreau. Stir well. Strain into a cocktail glass. Garnish with the lemon twist. | Cocktail Glass
DESERT SHIELD | 1 1/2 ounces vodka + 4 ounces cranberry juice + 1/2 ounce cranberry liqueur | Combine all of the ingredients in a highball glass. Stir well. | Highball Glass
DOYLES’ DELIBERATION | 1 1/2 ounces vodka + 1/2 ounce melon liqueur | In a mixing glass half-filled with ice cubes, combine both of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
DUKE’S A CHAMP | 1 1/2 ounces vodka + 1/2 ounce blackberry brandy | In a mixing glass half-filled with ice cubes, combine the vodka and brandy. Strain into a cocktail glass. | Cocktail Glass
DUSTY DOG | 2 ounces vodka + 1 dash bitters + 1/2 ounce crème de cassis + 5 ounces ginger ale + 1 teaspoon lemon juice + 1 lemon twist | In a shaker half-filled with ice cubes, combine the vodka, cassis, lemon juice, and bitters. Shake well. Strain into a highball glass almost filled with ice cubes. Top with the ginger ale. Stir well. Garnish with the lemon twist. | Highball Glass
EXTERMINATOR | 2 1/2 ounces vodka + 1/2 ounce fino sherry | In a mixing glass half-filled with ice cubes, combine both of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
FIRE AND ICE | 1 1/2 ounces pepper vodka + 1 teaspoon dry vermouth | In a mixing glass half-filled with ice cubes, combine both of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
FIREFLY | 2 ounces vodka + 1 teaspoon grenadine + 4 ounces grapefruit juice | Pour the vodka and grapefruit juice into a highball glass almost filled with ice cubes. Drop the grenadine into the center of the drink. | Highball Glass
FOGGY AFTERNOON | 1 ounce vodka + 1/2 ounce apricot brandy + 1/2 ounce Cointreau or triple sec + 1 teaspoon crème de bananes + 1 teaspoon lemon juice + 1 maraschino cherry | In a shaker half-filled with ice cubes, combine the vodka, brandy, Cointreau, crème de bananes, and lemon juice. Shake well. Strain into a cocktail glass. Garnish with the cherry. | Cocktail Glass
FRIGHTLEBERRY MURZENQUEST | 1 ounce vodka + 1 teaspoon maraschino liqueur + 1/2 ounce Galliano + 1/2 ounce Cointreau or triple sec + 1 dash bitters + 1 maraschino cherry + 1/2 ounce lime juice | In a shaker half-filled with ice cubes, combine the vodka, Galliano, Cointreau, lime juice, maraschino liqueur, and bitters. Shake well. Strain into a cocktail glass. Garnish with the cherry. | Cocktail Glass
FUZZY NAVEL | 1 ounce vodka + 4 ounces orange juice + 1 ounce peach schnapps | Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well. | Highball Glass
GALE AT SEA | 1 1/2 ounces vodka + 1/2 ounce Galliano + 1/2 ounce dry vermouth + 1/2 ounce blue Curaçao | In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
GALWAY GREY | 1 ounce vodka + 1 ounce lime juice + 1/2 ounce white crème de cacao + 1 ounce light cream + 1/2 ounce Cointreau or triple sec | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into an old-fashioned glass almost filled with ice cubes. | Old-Fashioned Glass
GLACIER MINT | 1 1/2 ounces vodka + 1/2 ounce green crème de menthe + 1/2 ounce lemon-flavored vodka | In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
GLASNOST | 2 ounces vodka + 1/2 ounce peppermint schnapps | In a mixing glass half-filled with ice cubes, combine both of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
GODMOTHER | 1 1/2 ounces vodka + 1/2 ounce amaretto | Pour both of the ingredients into an old-fashioned glass almost filled with ice cubes. Stir well. | Old-Fashioned Glass
GORKY PARK | 1 1/2 ounces vodka + 1 ounce lemon juice + 1/2 ounce cherry brandy + 1 maraschino cherry | In a shaker half-filled with ice cubes, combine the vodka, cherry brandy, and lemon juice. Shake well. Strain into a cocktail glass. Garnish with the cherry. | Cocktail Glass
GREEN MIRAGE | 1 ounce vodka + 1 teaspoon blue Curaçao + 1/2 ounce Galliano + 2 teaspoons dry vermouth | In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
GREYHOUND | 2 ounces vodka + 5 ounces grapefruit juice | In a highball glass almost filled with ice cubes, combine the vodka and grapefruit juice. Stir well. | Highball Glass
HARVEY WALLBANGER | 1 1/2 ounces vodka + 1/2 ounce Galliano + 4 ounces orange juice | In a highball glass almost filled with ice cubes, combine the vodka and orange juice. Stir well. Float the Galliano on top. | Highball Glass
HER NAME IN LIGHTS | 1 ounce vodka + 1/2 ounce yellow Chartreuse + 2 teaspoons Galliano + 2 teaspoons blue Curaçao + 1/2 ounce lemon juice + 1 maraschino cherry | In a shaker half-filled with ice cubes, combine the vodka, Chartreuse, Galliano, Curaçao, and lemon juice. Shake well. Strain into a cocktail glass. Garnish with the cherry. | Cocktail Glass
HOSS’S HOLDUP | 1 1/2 ounces vodka + 3 ounces orange juice + 1/2 ounce Cointreau or triple sec + 1/2 teaspoon grenadine | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a highball glass almost filled with ice cubes. | Highball Glass
IDONIS | 2 ounces vodka + 1 ounce pineapple juice + 1/2 ounce apricot brandy | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
JACKATH | 1 ounce vodka + 1 teaspoon Cointreau or triple sec + 2 teaspoons brandy + 1 teaspoon crème de cassis + 2 dashes orange bitters | In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
JOY JUMPER | 1 1/2 ounces vodka + 2 teaspoons kümmel + 1 teaspoon lime juice + 1 teaspoon lemon juice + 1/4 teaspoon superfine sugar + 1 lemon twist | In a shaker half-filled with ice cubes, combine the vodka, kümmel, lime juice, lemon juice, and sugar. Shake well. Strain into a cocktail glass. Garnish with the lemon twist. | Cocktail Glass
KAMIKAZE | 2 ounces Stolichnaya + 1 teaspoon Rose’s lime vodka juice | In a mixing glass half-filled with ice cubes, combine both of the ingredients. Stir well. Strain into a cocktail glass. Drink in one go. | Cocktail Glass
KAMIKAZE #2 | 1 1/2 ounces vodka + 2 teaspoons Rose’s lime + 1/2 ounce Cointreau or triple sec juice | In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
KANGAROO COCKTAIL | 2 ounces vodka + 1 lemon twist + 1 ounce dry vermouth | In a mixing glass half-filled with ice cubes, combine the vodka and vermouth. Stir well. Strain into a cocktail glass. Garnish with the lemon twist. | Cocktail Glass
KAROFF | 1 1/2 ounces vodka + 5 ounces club soda + 1 ounce cranberry juice + 1 lime wedge | Pour the vodka, cranberry juice, and club soda into a highball glass almost filled with ice cubes. Stir well. Garnish with the lime wedge. | Highball Glass
KRETCHMA COCKTAIL | 1 ounce vodka + 1/2 ounce lemon juice + 1/2 ounce white crème de cacao + 1 dash grenadine | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
LA CARRÉ | 1 1/2 ounces vodka + 2 teaspoons kümmel + 2 teaspoons dry vermouth | In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
LATHAM’S RULE | 1 1/2 ounces vodka + 3 ounces orange juice + 1/2 ounce Grand Marnier + 2 dashes orange bitters | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into an old-fashioned glass almost filled with ice cubes. | Old-Fashioned Glass
LAUGHING AT THE WAVES | 1 1/2 ounces vodka + 1/2 ounce Campari + 1/2 ounce dry vermouth + 1 lemon twist | In a mixing glass half-filled with ice cubes, combine the vodka, vermouth, and Campari. Stir well. Strain into a cocktail glass. Garnish with the lemon twist. | Cocktail Glass
LONG ISLAND ICED TEA | 1 ounce vodka + 1 ounce gin + 1 ounce light rum + 1 ounce tequila + 1 ounce lemon juice + 1 teaspoon superfine sugar + 4 ounces cola | In a shaker half-filled with ice cubes, combine the vodka, gin, rum, tequila, lemon juice, and sugar. Shake well. Strain into a mixing glass almost filled with ice cubes. Add the cola and stir well. Sip this drink over a long period of time—two days isn’t out of the question. | Mixing Glass
MADRAS | 1 1/2 ounces vodka + 2 ounces orange juice + 2 ounces cranberry juice | Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well. | Highball Glass
MAJOR TOM | 1 1/2 ounces vodka + 1/2 ounce kirsch + 1/2 ounce Cointreau or triple sec + 1/2 ounce grapefruit juice | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
MARC FELDINI | 2 ounces vodka + 1 cucumber rind sliver + 1/2 teaspoon saké | In a mixing glass half-filled with ice cubes, combine the vodka and saké. Stir well. Strain into a cocktail glass. Garnish with the cucumber. | Cocktail Glass
MAZRICK | 1 1/2 ounces vodka + 2 teaspoons Galliano + 1/2 ounce amaretto + 1 ounce orange juice + 1/2 ounce Cointreau or triple sec + 1 ounce pineapple juice + 2 dashes bitters | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a highball glass almost filled with ice cubes. | Highball Glass
MORNING GLORY | 1 1/2 ounces vodka + 2 ounces light cream + 1/2 ounce dark crème de cacao + 1/4 teaspoon grated nutmeg | In a shaker half-filled with ice cubes, combine the vodka, crème de cacao, and cream. Shake well. Strain into a cocktail glass. Garnish with the nutmeg. | Cocktail Glass
MOSCOW MULE | 1 1/2 ounces vodka + 4 ounces ginger beer + 1 ounce lime juice + 1 lime wedge | Pour the vodka, lime juice, and ginger beer into a highball glass almost filled with ice cubes. Stir well and garnish with the lime wedge. | Highball Glass
NINOTCHKA COCKTAIL | 2 ounces vodka + 1/2 ounce lemon juice + 1/2 ounce white crème de cacao | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
ON-THE-TOWN | 1 ounce vodka + 2 ounces orange juice + 1/2 ounce Campari + 1 egg white | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into an old-fashioned glass almost filled with ice cubes. | Old-Fashioned Glass
OUR STANLEY | 1 1/2 ounces vodka + 1/2 ounce Cointreau or triple sec + 1/2 ounce gin | In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
OWDHAM EDGE | 1 ounce vodka + 2 teaspoons Sambuca + 1/2 ounce white crème de cacao + 1 ounce light cream | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
PIECE OF MIND | 1 1/2 ounces vodka + 1 lemon twist + 1 ounce kümmel | Pour the vodka and kümmel into an old-fashioned glass almost filled with ice cubes. Stir well. Garnish with the lemon twist. | Old-Fashioned Glass
PRETTY THING | 1 1/2 ounces vodka + 1/2 ounce coconut cream + 1/2 ounce amaretto + 1/2 ounce heavy cream | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
PURPLE HAZE | 1/2 ounce Chambord + 1 ounce lemon-lime soda + 1 1/2 ounces lemon flavored vodka | Pour the Chambord into a snifter. Pour the vodka into a mixing glass half-filled with ice cubes; stir well. Carefully strain the vodka on top of the Chambord. Top with the soda. Add a straw and drink through the straw from the bottom to the top. | Snifter
PURPLE PASSION | 2 ounces vodka + 2 teaspoons superfine sugar + 2 ounces grape juice + 2 ounces grapefruit juice | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a highball glass almost filled with ice cubes. | Highball Glass
QUIET BUT QUICK | 1 1/2 ounces vodka + 1 ounce orange juice + 1/2 ounce cherry brandy + 1 dash orange bitters | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
ROCKY’S DILEMMA | 1 1/2 ounces vodka + 1/2 ounce Grand Marnier | In a mixing glass half-filled with ice cubes, combine both of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
RUSSIAN COCKTAIL | 1 ounce vodka + 1/2 ounce gin + 1/2 ounce white crème de cacao | In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
RUSSIAN KAMIKAZE | 2 ounces vodka + 1 teaspoon Chambord | In a mixing glass half-filled with ice cubes, combine both of the ingredients. Stir well. Strain into a sour glass. | Sour Glass
SALTY DOG | 2 teaspoons salt + 2 ounces vodka + 1 lime wedge + 5 ounces grapefruit juice | Place the salt in a saucer. Rub the rim of a highball glass with the lime wedge and dip the glass into the salt to coat the rim thoroughly; discard the lime. Almost fill the glass with ice cubes. Pour the vodka and grapefruit juice into the glass. Stir thoroughly. | Highball Glass
SARAH | 1 ounce vodka + 1 teaspoon Campari + 1/2 ounce cherry brandy + 1 teaspoon crème de bananes + 1/2 ounce dry vermouth | In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
SCREWDRIVER | 2 ounces vodka + 5 ounces orange juice | Pour the vodka and orange juice into a highball glass almost filled with ice cubes. Stir well. | Highball Glass
SEA BREEZE | 1 1/2 ounces vodka + 3 ounces cranberry juice + 2 ounce grapefruit juice + 1 lime wedge | Pour the vodka, grapefruit juice, and cranberry juice into a highball glass almost filled with ice cubes. Stir well. Garnish with the lime wedge. | Highball Glass
SEX ON THE BEACH | 1 ounce vodka + 2 ounces orange juice + 1 ounce peach schnapps + 2 ounces cranberry juice | Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well. | Highball Glass
SILVER SUNSET | 1 1/2 ounces vodka + 2 ounces orange juice + 1/2 ounce apricot brandy + 1 egg white + 1/2 ounce Campari + 1 maraschino cherry + 1/2 ounce lemon juice + 1 orange slice | In a shaker half-filled with ice cubes, combine the vodka, apricot brandy, Campari, lemon juice, orange juice, and egg white. Shake well. Strain into a cocktail glass. Garnish with the cherry and the orange slice. | Cocktail Glass
SLOW COMFORTABLE SCREW | 1 1/2 ounces vodka + 4 ounces orange juice + 1/2 ounce sloe gin + 1/2 ounce Southern Comfort | Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well. | Highball Glass
SPYMASTER | 1 1/2 ounces vodka + 1/2 ounce lemon juice + 1/2 ounce crème de bananes + 1 egg white | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into an old-fashioned glass almost filled with ice cubes. | Old-Fashioned Glass
STUFFY-IN-A-SUIT | 1 ounce vodka + 1 dash orange bitters + 1/2 ounce Lillet + 1 egg white + 1/2 ounce Cointreau or triple sec + 1 orange slice | In a shaker half-filled with ice cubes, combine the vodka, Lillet, Cointreau, orange bitters, and egg white. Shake well. Strain into an old-fashioned glass almost filled with ice cubes. Garnish with the orange slice. | Old-Fashioned Glass
VICKER’S TREAT | 1 1/2 ounces vodka + 2 dashes orange bitters + 4 ounces lemonade | Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well. | Highball Glass
VODKA AND BITTER LEMON | 1 1/2 ounces vodka + 4 ounces tonic water + 1/2 ounce lemon juice + 1/2 teaspoon superfine sugar | In a shaker half-filled with ice cubes, combine the vodka, lemon juice, and sugar. Shake well. Strain into a highball glass almost filled with ice cubes. Top with the tonic water. | Highball Glass
VODKA COLLINS | 2 ounces vodka + 3 ounces club soda + 1 ounce lemon juice + 1 maraschino cherry + 1 teaspoons superfine sugar + 1 orange slice | In a shaker half-filled with ice cubes, combine the vodka, lemon juice, and sugar. Shake well. Strain into a collins glass almost filled with ice cubes. Add | Collins Glass
VODKA COOLER | 2 ounces vodka + 1 lemon wedge + 4 ounces lemon-lime soda | Pour the vodka and soda into a highball glass almost filled with ice cubes. Stir well. Garnish with the lemon wedge. | Highball Glass
VODKA DAISY | 2 ounces vodka + 1/2 teaspoon grenadine + 1 ounce lemon juice + 1 maraschino cherry + 1/2 teaspoon superfine sugar + 1 orange slice | In a shaker half-filled with ice cubes, combine the vodka, lemon juice, sugar, and grenadine. Shake well. Pour into an old-fashioned glass. Garnish with the cherry and the orange slice. | Old-Fashioned Glass
VODKA DRY | 1 teaspoon dry sherry + 1 lemon twist + 1 1/2 ounces vodka | Pour the sherry into a snifter. Swirl it around the glass and pour out the excess. Stir the vodka in a mixing glass half-filled with ice cubes. Strain into the snifter. Garnish with the lemon twist. | Snifter
VODKA GIMLET | 2 ounces vodka + 1 lime wedge + 1/2 ounce Rose’s lime juice | Pour the vodka and Rose’s lime juice into a mixing glass half-filled with ice cubes. Stir well. Strain into a cocktail glass. Garnish with the lime wedge. | Cocktail Glass
VODKA MARTINI | 2 1/2 ounces vodka + 1 lemon twist or 1 1/2 teaspoons dry vermouth + 1 cocktail olive | In a mixing glass half-filled with ice cubes, combine the vodka and vermouth. Stir well. Strain into a cocktail glass. Garnish with the lemon twist or the olive. | Cocktail Glass
VODKA SLING | 1 teaspoon superfine sugar + 1 ounce lemon juice + 2 ounces vodka + 2 teaspoons water + 1 lemon twist | In a shaker half-filled with ice cubes, combine the sugar, water, lemon juice, and vodka. Shake well. Strain into an old-fashioned glass almost filled with ice cubes. Garnish with the lemon twist. | Old-Fashioned Glass
VODKA SOUR | 2 ounces vodka + 1 orange slice + 1 ounce lemon juice + 1 maraschino cherry + 1/2 teaspoon superfine sugar | In a shaker half-filled with ice cubes, combine the vodka, lemon juice, and sugar. Shake well. Strain into a sour glass. Garnish with the orange slice and the cherry. | Sour Glass
VODKA SWIZZLE | 1 1/2 ounces lime juice + 1 dash bitters + 1 teaspoon superfine sugar + Crushed ice + 3 ounces club soda + 2 ounces vodka | In a shaker half-filled with ice cubes, combine the lime juice, sugar, vodka, and bitters. Shake well. Almost fill a collins glass with crushed ice and stir until the glass is frosted. Strain the mixture in the shaker into the glass and add the club soda. Serve with a swizzle stick. | Collins Glass
WHITE RUSSIAN | 1 1/2 ounces vodka + 1 ounce light cream + 1 ounce Kahlúa | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into an old-fashioned glass almost filled with ice cubes. | Old-Fashioned Glass
WHITE SPIDER | 1 1/2 ounces vodka + 1/2 ounce white crème de menthe | In a mixing glass half-filled with ice cubes, combine both of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
WINDEX | 2 1/2 ounces vodka + 1/2 ounce blue Curaçao + 1/2 ounce Cointreau or triple sec | In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
WITCH OF VENICE | 1 1/2 ounces vodka + 1 ounce orange juice + 1/2 ounce Strega + 2 teaspoons crème de bananes | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
WOO WOO | 1 1/2 ounces vodka + 4 ounces cranberry juice + 1/2 ounce peach schnapps | Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well. | Highball Glass
ALGONQUIN | 1 1/2 ounces blended whiskey + 1/2 ounce dry vermouth + 1 ounce pineapple juice | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
AVRIL | 2 ounces Canadian whisky + 1/2 ounce cranberry liqueur | In a mixing glass half-filled with ice cubes, combine both of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
BABY’S BOTTOM | 1 1/2 ounces blended whiskey + 1/2 ounce white crème de cacao + 1/2 ounce white crème de menthe | In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
BANFF COCKTAIL | 1 1/2 ounces Canadian whisky + 1/2 ounce kirsch + 1 dash bitters + 1/2 ounce Grand Marnier + 1 lemon twist | In a mixing glass half-filled with ice cubes, combine the whisky, Grand Marnier, kirsch, and bitters. Stir well. Strain into a cocktail glass. Garnish with the lemon twist. | Cocktail Glass
BARNSTQRMER | 1 1/2 ounces Canadian whisky + 1/2 ounce peppermint schnapps + 1 teaspoon dark crème de cacao + 1 teaspoon white crème de cacao + 1/2 ounce lemon juice | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into an old-fashioned glass almost filled with ice cubes. | Old-Fashioned Glass
BAY HORSE | 1 1/2 ounces blended whiskey + 1/2 ounce Pernod + 1/2 ounce dark crème de cacao + 1 ounce heavy cream + 1/4 teaspoon grated nutmeg | In a shaker half-filled with ice cubes, combine the whiskey, Pernod, crème de cacao, and cream. Shake well. Strain into an old-fashioned glass almost filled with ice cubes. Garnish with the nutmeg. | Old-Fashioned Glass
BILL LEAVES TOWN | 2 ounces blended whiskey + 1 teaspoon grenadine + 1 maraschino cherry + 1/2 ounce sweet vermouth | In a mixing glass half-filled with ice cubes, combine the whiskey, vermouth, and grenadine. Stir well. Strain into a cocktail glass. Garnish with the cherry. | Cocktail Glass
BLACK HAWK | 2 ounces blended whiskey + 1 ounce sloe gin | In a mixing glass half-filled with ice cubes, combine both of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
BLUE MONDAY | 1 1/2 ounces Canadian whisky + 1 teaspoon brandy + 1/2 ounce blueberry brandy | In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
BOILERMAKER | 1 ounce blended whiskey + 12 ounces beer | Pour the whiskey into a shot glass. Pour the beer into a Pilsner or beer mug. Drink the whiskey in one go. Sip the beer. Drink a Boilermaker only if you are sober before you start and tough enough to drink whiskey in one go. | Shot Glass
BOOT HILL | 2 ounces blended whiskey + 1/2 ounce lemon juice + 1/2 teaspoon superfine sugar + 1/2 ounce applejack | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
BORROWED TIME | 1 1/2 ounces Canadian whisky + 1 egg yolk + 1 teaspoon grenadine + 1/2 ounce ruby port | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
CABLEGRAM | 1 1/2 ounces blended whiskey + 1/2 ounce lemon juice + 1/2 teaspoon superfine sugar + 4 ounces ginger ale + 1 lemon twist | In a shaker half-filled with ice cubes, combine the whiskey, lemon juice, and sugar. Shake well. Strain into a highball glass almost filled with ice cubes. Top with the ginger ale. Garnish with the lemon twist. | Highball Glass
CALIFORNIA LEMONDADE | 1 1/2 ounces blended whiskey + 4 ounces club soda + 1 maraschino cherry + 1 ounce lemon juice + 1 orange slice + 1 teaspoon superfine sugar | In a shaker half-filled with ice cubes, combine the whiskey, lemon juice, and sugar. Shake well. Strain into a highball glass almost filled with ice cubes. Top with the club soda. Garnish with the cherry and the orange slice. | Highball Glass
CANADIAN COCKTAIL | 2 ounces blended whiskey + 1/2 teaspoon superfine sugar + 1/2 ounce Cointreau or triple sec + 1 dash bitters | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
CANADIAN SALAD | 1 ounce Canadian whisky + 1/2 ounce lemon juice + 1/2 ounce brandy + 1/2 ounce Irish whiskey Mist + 1/2 ounce Scotch + 1 ounce orange juice + 1/2 teaspoon superfine sugar + 1 orange slice + 1 maraschino cherry | In a shaker half-filled with ice cubes, combine the whisky, brandy, Irish Mist, Scotch, orange juice, lemon juice, and sugar. Shake well. Strain into an old-fashioned glass almost filled with ice cubes. Garnish with the orange slice and the cherry. | Old-Fashioned Glass
CAT AND FIDDLE | 1 1/2 ounces Canadian whisky + 1 teaspoon Pernod + 1 teaspoon Dubonnet Blanc + 1/2 ounce Cointreau or triple sec | In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
COMMODORE | 2 ounces Canadian whisky + 1 dash bitters + 1/2 teaspoon superfine sugar + 1 ounce lime juice | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
DINAH COCKTAIL | 2 ounces blended whiskey + 1/2 teaspoon superfine sugar + 1/2 ounce lemon juice | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
DOUBLE STANDARD SOUR | 1 ounce blended whiskey + 1/2 teaspoon grenadine + 1 ounce gin + 1 maraschino cherry + 1 ounce lemon juice + 1 orange slice + 1/2 teaspoon superfine sugar | In a shaker half-filled with ice cubes, combine the whiskey, gin, lemon juice, sugar, and grenadine. Shake well. Strain into a sour glass. Garnish with the cherry and the orange slice. | Sour Glass
DRY MANHATTAN | 2 ounces blended whiskey + 3/4 ounce dry vermouth + 1 lemon twist | In a mixing glass half-filled with ice cubes, combine the whiskey and vermouth. Stir well. Strain into a cocktail glass. Garnish with the lemon twist. | Cocktail Glass
DUBONNET MANHATTAN | 2 ounces blended whiskey + 1 dash bitters + 1 maraschino cherry + 1/2 ounce Dubonnet Rouge | In a mixing glass half-filled with ice cubes, combine the whiskey, Dubonnet, and bitters. Stir well. Strain into a cocktail glass. Garnish with the cherry. | Cocktail Glass
DUSTY BILL | 1 1/2 ounces Canadian whisky + 2 teaspoons lemon juice + 1/2 ounce applejack + 1 teaspoon brandy + 1/2 teaspoon superfine sugar + 1 maraschino cherry | In a shaker half-filled with ice cubes, combine the whisky, applejack, brandy, lemon juice, and sugar. Shake well. Strain into an old-fashioned glass almost filled with ice cubes. Garnish with the cherry. | Old-Fashioned Glass
ERUPTION | 2 ounces Canadian whisky + 1/2 ounce crème de cassis + 1 maraschino cherry | In a mixing glass half-filled with ice cubes, combine the whisky and cassis. Stir well. Strain into a cocktail glass. Garnish with the cherry. | Cocktail Glass
EVERYBODY’S IRISH | 2 ounces Irish whiskey + 1 ounce green Chartreuse + 1 ounce green crème de menthe | In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
FANCY WHISKEY | 2 ounces blended whiskey + 1/4 teaspoon superfine sugar + 1/2 teaspoon Cointreau or triple sec + 2 dashes bitters + 1 lemon twist | In a shaker half-filled with ice cubes, combine the whiskey, Cointreau, sugar, and bitters. Shake well. Strain into a cocktail glass. Garnish with the lemon twist. | Cocktail Glass
FAUX SCRUMPY | 1 1/2 ounces blended whiskey + 6 ounces apple juice | Pour both of the ingredients into a highball glass almost filled with ice cubes. Stir well. | Highball Glass
FINE AND DANDY | 1 1/2 ounces Canadian whisky + 1/2 ounce Cointreau or triple sec + 1/2 ounce Dubonnet Rouge + 1 dash bitters + 1 lemon twist | Combine the whisky, Dubonnet, Cointreau, and bitters in an old-fashioned glass almost filled with ice cubes. Garnish with the lemon twist. | Old-Fashioned Glass
GAULT’S GUMPTION | 1 1/2 ounces Canadian whisky + 1 teaspoon sweet vermouth + 1/2 ounce peach schnapps | In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
